,material_id,material_name,current,unit,jan,feb,mar,apr,may,jun,jul
2978,0516030100400000,    ขนาดเส้นผ่านศูนย์กลาง 1 1/4 นิ้ว ยาว 3 เมตร,457.1,ท่อน ,457.1,457.1,457.1,457.1,457.1,457.1,457.1
2979,0516030100500000,    ขนาดเส้นผ่านศูนย์กลาง 1 1/2 นิ้ว ยาว 3 เมตร,561.4,ท่อน ,561.4,561.4,561.4,561.4,561.4,561.4,561.4
2980,0516030100600000,    ขนาดเส้นผ่านศูนย์กลาง 2 นิ้ว ยาว 3 เมตร,767.2,ท่อน ,767.2,767.2,767.2,767.2,767.2,767.2,767.2
2981,0516040000000000, ท่อเหล็กร้อยสายไฟ ชนิดบาง EMT,x,x,x,x,x,x,x,x,x
2982,0516040100100000,    ขนาดเส้นผ่านศูนย์กลาง 1/2 นิ้ว ยาว 3 เมตร,93.1,ท่อน ,93.1,93.1,93.1,93.1,93.1,93.1,93.1
2983,0516040100200000,    ขนาดเส้นผ่านศูนย์กลาง 3/4 นิ้ว ยาว 3 เมตร,134.4,ท่อน ,134.4,134.4,134.4,134.4,134.4,134.4,134.4
2984,0516040100300000,    ขนาดเส้นผ่านศูนย์กลาง 1 นิ้ว ยาว 3 เมตร,191.1,ท่อน ,191.1,191.1,191.1,191.1,191.1,191.1,191.1
2985,0516040100400000,    ขนาดเส้นผ่านศูนย์กลาง 1 1/4 นิ้ว ยาว 3 เมตร,333.2,ท่อน ,333.2,333.2,333.2,333.2,333.2,333.2,333.2
2986,0516040100500000,    ขนาดเส้นผ่านศูนย์กลาง 1 1/2 นิ้ว ยาว 3 เมตร,388.5,ท่อน ,388.5,388.5,388.5,388.5,388.5,388.5,388.5
2987,0516040100600000,    ขนาดเส้นผ่านศูนย์กลาง 2 นิ้ว ยาว 3 เมตร,481.6,ท่อน ,481.6,481.6,481.6,481.6,481.6,481.6,481.6
2988,0517000000000000,ท่อไฟเบอร์กลาส สำหรับงานประปา น้ำเสีย และงานวางท่อทั่วไป,กรกฎาคม,หน่วย,มกราคม,กุมภาพันธ์,มีนาคม,เมษายน,พฤษภาคม,มิถุนายน,กรกฎาคม
2989,0517010700000000, ท่อไฟเบอร์กลาส มอก.1483-2549 ชั้น PN 6 SN 5000,x,x,x,x,x,x,x,x,x
2990,0517010700100000,    ขนาดเส้นผ่านศูนย์กลาง 300 มม.,4080.06,เมตร ,4080.06,4080.06,4080.06,4080.06,4080.06,4080.06,4080.06
2991,0517010700200000,    ขนาดเส้นผ่านศูนย์กลาง 400 มม.,5687.93,เมตร ,5687.93,5687.93,5687.93,5687.93,5687.93,5687.93,5687.93
2992,0517010700300000,    ขนาดเส้นผ่านศูนย์กลาง 500 มม.,7800.51,เมตร ,7800.51,7800.51,7800.51,7800.51,7800.51,7800.51,7800.51
2993,0517010700400000,    ขนาดเส้นผ่านศูนย์กลาง 600 มม.,9950.93,เมตร ,9950.93,9950.93,9950.93,9950.93,9950.93,9950.93,9950.93
2994,0517010700500000,    ขนาดเส้นผ่านศูนย์กลาง 700 มม.,12563.71,เมตร ,12563.71,12563.71,12563.71,12563.71,12563.71,12563.71,12563.71
2995,0517010700600000,    ขนาดเส้นผ่านศูนย์กลาง 800 มม.,17333.19,เมตร ,17333.19,17333.19,17333.19,17333.19,17333.19,17333.19,17333.19
2996,0517010700700000,    ขนาดเส้นผ่านศูนย์กลาง 900 มม.,20728.35,เมตร ,20728.35,20728.35,20728.35,20728.35,20728.35,20728.35,20728.35
2997,0517010700800000,    ขนาดเส้นผ่านศูนย์กลาง 1000 มม.,23738.58,เมตร ,23738.58,23738.58,23738.58,23738.58,23738.58,23738.58,23738.58
2998,0517010700900000,    ขนาดเส้นผ่านศูนย์กลาง 1200 มม.,33048.72,เมตร ,33048.72,33048.72,33048.72,33048.72,33048.72,33048.72,33048.72
2999,0517010701000000,    ขนาดเส้นผ่านศูนย์กลาง 1400 มม.,44397.65,เมตร ,44397.65,44397.65,44397.65,44397.65,44397.65,44397.65,44397.65
3000,0517010701100000,    ขนาดเส้นผ่านศูนย์กลาง 1500 มม.,48332.47,เมตร ,48332.47,48332.47,48332.47,48332.47,48332.47,48332.47,48332.47
3001,0517010701200000,    ขนาดเส้นผ่านศูนย์กลาง 1600 มม.,55811.21,เมตร ,55811.21,55811.21,55811.21,55811.21,55811.21,55811.21,55811.21
3002,0517010701300000,    ขนาดเส้นผ่านศูนย์กลาง 1800 มม.,71771.84,เมตร ,71771.84,71771.84,71771.84,71771.84,71771.84,71771.84,71771.84
3003,0517010701400000,    ขนาดเส้นผ่านศูนย์กลาง 2000 มม.,90018.97,เมตร ,90018.97,90018.97,90018.97,90018.97,90018.97,90018.97,90018.97
